Transaction_ID,Customer_ID,Purchase_Date,Customer_City,Product_Category,Product_Name,Quantity,Unit_Price,Discount_Percent,Total_Amount,Payment_Method,Sales_Channel,Customer_Age,Customer_Gender
TXN0258,CUST0171,2025-09-11,Islamabad,Fashion,Handbag,2.0,2486.54,11.4,4406.14888,Credit Card,In-Store,52.0,Male
TXN0758,CUST0004,2025-09-13,Karachi,Groceries,Wheat Flour,12.0,57.2,20.2,547.7472000000001,Wallet,Online,55.0,Male
TXN0993,CUST0332,2025-03-15,Quetta,Home & Kitchen,Microwave,1.0,14930.24,30.0,10451.168,Wallet,Online,57.0,Female
TXN1171,CUST0510,2025-10-31,Islamabad,Fashion,Jacket,2.0,2170.32,10.7,3876.1915200000003,UPI,In-Store,30.0,Female
TXN1069,CUST0389,2025-02-17,Islamabad,Fashion,Jeans,1.0,1989.75,5.4,1882.3035,Debit Card,In-Store,35.0,Female
TXN0800,CUST0010,2025-10-09,Multan,Beauty & Personal Care,Perfume,1.0,3402.53,16.7,2834.30749,UPI,In-Store,27.0,Male
TXN1440,CUST0277,2025-10-19,Lahore,Groceries,Wheat Flour,5.0,60.98,30.0,213.42999999999998,Wallet,Online,58.0,Female
TXN1422,CUST0457,2025-10-05,Rawalpindi,Fashion,Jacket,2.0,2969.47,1.0,5879.5506,Cash,In-Store,45.0,Female
TXN1200,CUST0483,2025-10-21,Faisalabad,Groceries,Tea Pack,6.0,216.43,11.5,1149.2432999999999,Cash,In-Store,41.0,Male
TXN0516,CUST0591,2025-10-17,Quetta,Home & Kitchen,Microwave,1.0,14737.43,21.3,11598.35741,Debit Card,In-Store,37.0,Male
TXN0517,CUST0522,2025-12-12,Faisalabad,Electronics,Laptop,1.0,110081.92,21.3,86634.47104,Credit Card,Online,27.0,Male
TXN0749,CUST0481,2025-12-15,Quetta,Home & Kitchen,Microwave,1.0,15929.81,15.3,13492.54907,UPI,Online,20.0,Male
TXN1261,CUST0280,2025-09-14,Quetta,Home & Kitchen,Cookware Set,1.0,2749.11,6.3,2575.91607,Debit Card,Online,39.0,Male
TXN0938,CUST0037,2025-05-20,Quetta,Fashion,T-Shirt,2.0,1163.69,15.8,1959.65396,Debit Card,In-Store,42.0,Male
TXN0543,CUST0313,2025-09-09,Quetta,Home & Kitchen,Microwave,1.0,6563.08,0.2,6549.95384,Cash,Online,24.0,Female
TXN1113,CUST0411,2025-03-08,Quetta,Beauty & Personal Care,Shampoo,2.0,187.74,16.7,312.77484,UPI,Online,44.0,Male
TXN0135,CUST0267,2025-05-09,Faisalabad,Electronics,Smart Watch,1.0,15086.32,22.0,11767.329600000001,Debit Card,In-Store,37.0,Female
TXN1250,CUST0056,2025-10-08,Quetta,Fashion,Sneakers,2.0,3763.64,21.9,5878.80568,Cash,Online,46.0,Female
TXN0776,CUST0165,2025-10-15,Islamabad,Fashion,Handbag,1.0,964.6,0.3,961.7062,Credit Card,In-Store,53.0,Male
TXN0040,CUST0047,2025-12-20,Karachi,Electronics,Laptop,1.0,92791.23,11.4,82213.02978,Credit Card,In-Store,56.0,Male
TXN0917,CUST0063,2025-04-06,Islamabad,Beauty & Personal Care,Face Wash,3.0,445.2,11.2,1186.0128,Credit Card,In-Store,60.0,Female
TXN1322,CUST0405,2025-10-13,Islamabad,Home & Kitchen,Water Purifier,1.0,11832.82,11.8,10436.54724,UPI,In-Store,22.0,Male
TXN0167,CUST0570,2025-02-05,Lahore,,Coffee Pack,2.0,364.34,5.4,689.3312799999999,Credit Card,Online,54.0,Male
TXN1036,CUST0555,2025-08-17,Faisalabad,Fashion,Jeans,3.0,1565.2,16.8,3906.7392,Wallet,In-Store,62.0,Female
TXN0434,CUST0203,2025-08-22,Rawalpindi,Fashion,T-Shirt,1.0,471.55,11.4,417.7933,UPI,Online,43.0,Female
TXN0756,CUST0189,2025-12-24,Peshawar,Electronics,Headphones,2.0,574.19,1.1,1135.74782,Credit Card,Online,38.0,Male
TXN0675,CUST0554,2025-11-30,Quetta,Home & Kitchen,Vacuum Cleaner,1.0,8338.14,21.2,6570.45432,Debit Card,In-Store,39.0,Other
TXN0450,CUST0505,2025-05-05,Lahore,Beauty & Personal Care,Face Wash,2.0,114.34,21.3,179.97116000000003,Credit Card,Online,32.0,Female
TXN0839,CUST0454,2025-02-18,Lahore,Fashion,Sneakers,1.0,4775.54,30.0,3342.8779999999997,Credit Card,Online,25.0,Male
TXN0593,CUST0455,2025-02-27,Lahore,Fashion,Handbag,1.0,2835.05,10.9,2526.02955,Wallet,In-Store,28.0,Female
TXN0952,CUST0442,2025-10-22,Karachi,Electronics,Laptop,1.0,35242.65,15.2,29885.767200000002,UPI,Online,51.0,Female
TXN0814,CUST0548,2025-10-31,Quetta,Groceries,Rice,7.0,79.78,6.9,519.9262600000001,UPI,In-Store,37.0,Female
TXN0318,CUST0027,2025-03-15,Rawalpindi,Home & Kitchen,Vacuum Cleaner,1.0,3561.87,10.9,3173.62617,Cash,Online,43.0,Male
TXN0395,CUST0113,2025-11-07,Karachi,Fashion,T-Shirt,4.0,538.95,5.0,2048.01,Cash,In-Store,62.0,Female
TXN0887,CUST0438,2025-08-02,Quetta,Beauty & Personal Care,Moisturizer,2.0,132.82,21.3,209.05868,UPI,In-Store,60.0,Male
TXN0259,CUST0223,2025-11-20,Rawalpindi,Home & Kitchen,Mixer Grinder,1.0,2117.9,1.7,2081.8957,Credit Card,Online,53.0,Male
TXN1424,CUST0121,2025-01-23,Multan,Home & Kitchen,Cookware Set,1.0,4764.83,1.0,4717.1817,Wallet,In-Store,41.0,Male
TXN0368,CUST0091,2025-10-03,Karachi,Fashion,T-Shirt,3.0,986.39,16.3,2476.8252899999998,UPI,In-Store,34.0,Male
TXN1170,CUST0354,2025-09-13,Multan,Electronics,Laptop,1.0,81973.24,16.4,68529.62864000001,UPI,In-Store,26.0,Female
TXN0847,CUST0371,2025-02-09,Rawalpindi,Beauty & Personal Care,Moisturizer,2.0,495.9,21.4,779.5548,Cash,In-Store,49.0,Male
TXN1382,CUST0303,2025-12-30,Quetta,Groceries,Tea Pack,6.0,1979.01,16.7,9891.09198,UPI,In-Store,27.0,Male
TXN1326,CUST0187,2025-12-20,Faisalabad,Electronics,Headphones,2.0,2774.47,11.2,4927.45872,Credit Card,In-Store,47.0,Male
TXN1327,CUST0152,2025-03-29,Rawalpindi,Electronics,Smart Watch,1.0,4463.58,6.5,4173.4473,Credit Card,In-Store,23.0,Female
TXN0256,CUST0576,2025-05-18,Peshawar,Home & Kitchen,Water Purifier,1.0,6170.67,21.9,4819.29327,Debit Card,Online,65.0,Male
TXN0327,CUST0163,2025-08-06,Multan,Groceries,Rice,8.0,46.47,20.9,294.06216,Credit Card,In-Store,60.0,Female
TXN0237,CUST0460,2025-02-24,Quetta,Fashion,Sneakers,2.0,1446.57,10.5,2589.3603,Credit Card,Online,32.0,Male
TXN0858,CUST0013,2025-04-01,Lahore,Beauty & Personal Care,Hair Oil,4.0,237.67,0.8,943.0745599999999,Credit Card,Online,20.0,Female
TXN0223,CUST0213,2025-03-09,Islamabad,Electronics,Laptop,1.0,106890.33,1.1,105714.53637,UPI,In-Store,63.0,Male
TXN1045,CUST0557,2025-01-17,Islamabad,Electronics,Tablet,1.0,22148.98,16.3,18538.69626,UPI,In-Store,45.0,Female
TXN1325,CUST0539,2025-11-06,Quetta,Beauty & Personal Care,Hair Oil,1.0,298.77,10.9,266.20407,Cash,Online,34.0,Female
TXN0603,CUST0063,2025-05-08,Islamabad,Groceries,Rice,15.0,61.56,20.0,738.7200000000001,UPI,Online,60.0,Female
TXN0186,CUST0290,2025-10-06,Rawalpindi,Home & Kitchen,Mixer Grinder,1.0,4847.1,0.8,4808.323200000001,Wallet,Online,25.0,Male
TXN0405,CUST0120,2025-06-06,Islamabad,Fashion,Jeans,2.0,2768.59,15.9,4656.76838,Credit Card,In-Store,28.0,Other
TXN0743,CUST0318,2025-11-29,Peshawar,Beauty & Personal Care,Face Wash,1.0,237.21,11.0,211.11690000000002,Cash,In-Store,39.0,Female
TXN0958,CUST0509,2025-10-10,Islamabad,Fashion,Sneakers,1.0,4726.72,12.0,4159.5136,Cash,Online,50.0,Female
TXN0347,CUST0430,2025-02-28,Lahore,Home & Kitchen,Cookware Set,1.0,1681.94,26.6,1234.54396,Credit Card,Online,27.0,Female
TXN1184,CUST0368,2025-01-11,Faisalabad,Electronics,Laptop,1.0,65033.74,11.3,57684.92738,Wallet,Online,58.0,Male
TXN0629,CUST0583,2025-10-15,Lahore,Electronics,Tablet,1.0,10066.79,15.1,8546.70471,UPI,Online,60.0,Male
TXN0260,CUST0340,2025-07-12,Quetta,Fashion,Sneakers,1.0,1979.01,2.0,1939.4298,Debit Card,Online,30.0,Other
TXN0510,CUST0152,2025-06-21,Rawalpindi,Groceries,Tea Pack,5.0,229.92,16.5,959.9159999999999,UPI,Online,23.0,Female
TXN0542,CUST0130,2025-11-19,Multan,,Handbag,1.0,4321.77,1.3,4265.586990000001,UPI,In-Store,61.0,Other
TXN0419,CUST0223,2025-02-21,Rawalpindi,Electronics,Smartphone,1.0,18080.95,11.4,16019.7217,Credit Card,Online,41.0,Male
TXN0168,CUST0408,2025-08-16,Lahore,Fashion,Jeans,3.0,2560.59,21.4,6037.871220000001,UPI,Online,24.0,Female
TXN1354,CUST0010,2025-10-07,Peshawar,Electronics,Headphones,1.0,3842.5,1.4,3788.705,Wallet,Online,27.0,Male
TXN1480,CUST0036,2025-07-13,Peshawar,Electronics,Smartphone,2.0,74105.39,11.4,131314.75108,UPI,In-Store,61.0,Male
TXN1324,CUST0484,2025-12-20,Multan,Fashion,Handbag,1.0,1670.28,21.0,1319.5212000000001,UPI,Online,42.0,Male
TXN0513,CUST0427,2025-12-26,Faisalabad,Beauty & Personal Care,Face Wash,1.0,213.44,6.1,200.42016,Credit Card,In-Store,56.0,Female
TXN0180,CUST0435,2025-11-06,Karachi,Fashion,Sneakers,1.0,1542.0,11.2,1369.296,UPI,In-Store,54.0,Female
TXN0357,CUST0263,2025-12-27,Lahore,Groceries,Cooking Oil,5.0,164.35,20.5,653.29125,UPI,In-Store,58.0,Female
TXN0161,CUST0567,2025-10-11,Quetta,Home & Kitchen,Mixer Grinder,1.0,3238.57,30.0,2266.999,Debit Card,In-Store,19.0,Male
TXN1112,CUST0030,2025-10-04,Faisalabad,Fashion,Sneakers,2.0,5513.24,6.4,10320.785279999998,Wallet,In-Store,59.0,Male
TXN0507,CUST0258,2025-12-21,Islamabad,Fashion,Handbag,2.0,2451.33,5.3,4642.81902,Debit Card,In-Store,29.0,Female
TXN0454,CUST0094,2025-03-14,Lahore,Electronics,Smart Watch,1.0,1979.01,5.1,1878.0804899999998,UPI,Online,38.0,Female
TXN1372,CUST0272,2025-03-16,Faisalabad,Beauty & Personal Care,Hair Oil,1.0,137.36,21.0,108.51440000000001,Debit Card,In-Store,65.0,Male
TXN1385,CUST0203,2025-06-16,Rawalpindi,Groceries,Coffee Pack,4.0,347.2,6.5,1298.528,Cash,In-Store,43.0,Female
TXN1023,CUST0241,2025-07-18,Karachi,Beauty & Personal Care,Perfume,1.0,3271.38,21.9,2554.94778,Debit Card,In-Store,35.0,Male
TXN1015,CUST0445,2025-06-22,Faisalabad,Electronics,Smart Watch,1.0,15888.97,6.3,14887.964890000001,UPI,In-Store,26.0,Male
TXN0721,CUST0286,2025-04-17,Multan,Beauty & Personal Care,Face Wash,1.0,182.74,11.0,162.6386,Credit Card,Online,44.0,Male
TXN0060,CUST0461,2025-01-07,Lahore,Home & Kitchen,Mixer Grinder,1.0,3857.18,26.6,2831.1701199999998,Wallet,In-Store,22.0,Female
TXN1470,CUST0465,2025-11-27,Islamabad,Electronics,Smartphone,1.0,54178.84,20.9,42855.462439999996,UPI,In-Store,30.0,Male
TXN0822,CUST0600,2025-05-09,Faisalabad,Fashion,Jeans,3.0,1941.47,6.5,5445.823350000001,UPI,Online,40.0,Female
TXN0622,CUST0326,2025-10-21,Faisalabad,Groceries,Rice,11.0,56.76,20.9,493.86876,Debit Card,In-Store,46.0,Male
TXN1201,CUST0312,2025-05-31,Multan,Groceries,Wheat Flour,9.0,55.2,26.0,367.632,UPI,In-Store,50.0,Other
TXN0003,CUST0014,2025-11-18,Faisalabad,Fashion,Jacket,2.0,3408.78,21.9,5324.51436,Credit Card,In-Store,42.0,Male
TXN0812,CUST0483,2025-05-02,Faisalabad,Electronics,Laptop,1.0,74274.91,21.0,58677.178900000006,Wallet,Online,41.0,Male
TXN1284,CUST0327,2025-04-16,Karachi,Fashion,Jeans,3.0,817.42,25.4,1829.3859599999998,Credit Card,In-Store,19.0,Male
TXN0248,CUST0265,2025-10-06,Faisalabad,Groceries,Wheat Flour,2.0,44.82,12.0,78.8832,UPI,In-Store,59.0,Male
TXN1187,CUST0469,2025-02-13,Quetta,Electronics,Smartphone,1.0,36129.14,6.9,33636.22934,UPI,Online,58.0,Male
TXN1439,CUST0143,2025-01-30,Islamabad,Groceries,Wheat Flour,13.0,40.97,1.9,522.49041,Credit Card,In-Store,62.0,Male
TXN0108,CUST0448,2025-09-10,Rawalpindi,Home & Kitchen,Vacuum Cleaner,1.0,14254.82,1.6,14026.74288,Debit Card,Online,42.0,Female
TXN1296,CUST0449,2025-11-20,Multan,Fashion,Jacket,1.0,5359.6,15.5,4528.862,Credit Card,Online,50.0,Male
