Transaction_ID,Customer_ID,Purchase_Date,Customer_City,Product_Category,Product_Name,Quantity,Unit_Price,Discount_Percent,Total_Amount,Payment_Method,Sales_Channel,Customer_Age,Customer_Gender
TXN0258,CUST0171,2025-09-11,Islamabad,Fashion,Handbag,2.0,2486.54,,3963.54,Credit Card,In-Store,52.0,Male
TXN0758,CUST0004,2025-09-13,Karachi,Groceries,Wheat Flour,12.0,57.2,20.2,547.75,Wallet,Online,55.0,Male
TXN0993,CUST0332,2025-03-15,Quetta,Home & Kitchen,Microwave,1.0,14930.24,30.0,10451.17,Wallet,Online,57.0,Female
TXN1171,CUST0510,2025-10-31,Islamabad,Fashion,Jacket,2.0,2170.32,10.7,3876.19,UPI,In-Store,30.0,Female
TXN1069,CUST0389,2025-02-17,Islamabad,Fashion,Jeans,1.0,1989.75,5.4,1882.3,Debit Card,In-Store,35.0,Female
TXN0800,CUST0010,2025-10-09,Multan,Beauty & Personal Care,Perfume,1.0,3402.53,16.7,2834.31,UPI,In-Store,27.0,Male
TXN1440,CUST0277,2025-10-19,Lahore,Groceries,Wheat Flour,5.0,60.98,30.0,213.43,Wallet,Online,58.0,Female
TXN1422,CUST0457,2025-10-05,Rawalpindi,Fashion,Jacket,2.0,2969.47,1.0,5879.55,Cash,In-Store,45.0,Female
TXN1200,CUST0483,2025-10-21,Faisalabad,Groceries,Tea Pack,6.0,216.43,11.5,1149.24,Cash,In-Store,41.0,Male
TXN0516,CUST0591,2025-10-17,Quetta,Home & Kitchen,Microwave,1.0,14737.43,21.3,11598.36,Debit Card,In-Store,37.0,Male
TXN0517,CUST0522,2025-12-12,Faisalabad,Electronics,Laptop,1.0,110081.92,21.3,86634.47,Credit Card,Online,27.0,Male
TXN0749,CUST0481,2025-12-15,Quetta,HOME & KITCHEN,Microwave,1.0,15929.81,15.3,13492.55,UPI,Online,20.0,Male
TXN1261,CUST0280,2025-09-14,Quetta,Home & Kitchen,Cookware Set,1.0,2749.11,6.3,2575.92,Debit Card,Online,39.0,Male
TXN0938,CUST0037,2025-05-20,Quetta,Fashion,T-Shirt,2.0,1163.69,15.8,1959.65,Debit Card,In-Store,42.0,Male
TXN0543,CUST0313,2025-09-09,Quetta,Home & Kitchen,Microwave,1.0,6563.08,0.2,6549.95,Cash,Online,24.0,Female
TXN1113,CUST0411,2025-03-08,Quetta,Beauty & Personal Care,Shampoo,2.0,187.74,16.7,312.77,UPI,Online,44.0,Male
TXN0135,CUST0267,2025-05-09,Faisalabad,electronics,Smart Watch,1.0,15086.32,22.0,11767.33,Debit Card,In-Store,37.0,Female
TXN1250,CUST0056,2025-10-08,Quetta,Fashion,Sneakers,2.0,3763.64,21.9,5878.81,Cash,Online,46.0,Female
TXN0776,CUST0165,2025-10-15,Islamabad,Fashion,Handbag,1.0,964.6,0.3,961.71,Credit Card,In-Store,53.0,Male
TXN0040,CUST0047,2025-12-20,Karachi,Electronics,Laptop,1.0,92791.23,,78037.42,Credit Card,In-Store,56.0,Male
TXN0917,CUST0063,2025-04-06,Islamabad,Beauty & Personal Care,Face Wash,3.0,445.2,11.2,1186.01,Credit Card,In-Store,60.0,Female
TXN1322,CUST0405,2025-10-13,Islamabad,Home & Kitchen,Water Purifier,1.0,11832.82,11.8,10436.55,UPI,In-Store,22.0,Male
TXN0167,CUST0570,2025-02-05,,,Coffee Pack,2.0,364.34,5.4,689.33,Credit Card,Online,54.0,Male
TXN1036,CUST0555,2025-08-17,Faisalabad,Fashion,Jeans,3.0,1565.2,16.8,3906.74,Wallet,In-Store,62.0,Female
TXN0434,CUST0203,2025-08-22,Rawalpindi,Fashion,T-Shirt,1.0,471.55,,330.08,UPI,Online,43.0,Female
TXN0756,CUST0189,2025-12-24,Peshawar,Electronics,Headphones,2.0,574.19,1.1,1135.75,Credit Card,Online,38.0,Male
TXN0675,CUST0554,2025-11-30,Quetta,Home & Kitchen,Vacuum Cleaner,1.0,8338.14,21.2,6570.45,Debit Card,In-Store,39.0,Other
TXN0450,CUST0505,2025-05-05,,Beauty & Personal Care,Face Wash,2.0,114.34,21.3,179.97,Credit Card,Online,32.0,Female
TXN0839,CUST0454,2025-02-18,Lahore,Fashion,Sneakers,1.0,4775.54,30.0,3342.88,Credit Card,Online,25.0,Male
TXN0593,CUST0455,2025-02-27,Lahore,Fashion,Handbag,1.0,2835.05,10.9,2526.03,Wallet,In-Store,28.0,Female
TXN0952,CUST0442,2025-10-22,Karachi,Electronics,Laptop,1.0,35242.65,15.2,29885.77,UPI,Online,51.0,Female
TXN0814,CUST0548,2025-10-31,Quetta,Groceries,Rice,7.0,79.78,6.9,519.93,,,37.0,Female
TXN0318,CUST0027,2025-03-15,Rawalpindi,Home & Kitchen,Vacuum Cleaner,1.0,3561.87,10.9,3173.63,Cash,Online,43.0,Male
TXN0395,CUST0113,2025-11-07,Karachi,Fashion,T-Shirt,4.0,538.95,5.0,2048.01,Cash,In-Store,62.0,Female
TXN0887,CUST0438,2025-08-02,Quetta,Beauty & Personal Care,Moisturizer,2.0,132.82,21.3,209.06,UPI,In-Store,60.0,Male
TXN0259,CUST0223,2025-11-20,Rawalpindi,Home & Kitchen,Mixer Grinder,1.0,2117.9,1.7,2081.9,Credit Card,Online,53.0,Male
TXN1424,CUST0121,2025-01-23,Multan,Home & Kitchen,Cookware Set,1.0,4764.83,1.0,4717.18,Wallet,In-Store,,Male
TXN0368,CUST0091,2025-10-03,Karachi,Fashion,T-Shirt,3.0,986.39,16.3,2476.83,UPI,In-Store,34.0,Male
TXN1170,CUST0354,2025-09-13,Multan,Electronics,Laptop,1.0,81973.24,16.4,68529.63,UPI,In-Store,26.0,Female
TXN0847,CUST0371,2025-02-09,Rawalpindi,Beauty & Personal Care,Moisturizer,2.0,495.9,21.4,779.55,Cash,In-Store,49.0,Male
TXN1382,CUST0303,2025-12-30,Quetta,Groceries,Tea Pack,6.0,,16.7,1595.16,UPI,In-Store,27.0,Male
TXN1326,CUST0187,2025-12-20,Faisalabad,Electronics,Headphones,2.0,2774.47,11.2,4927.46,Credit Card,In-Store,47.0,Male
TXN1327,CUST0152,2025-03-29,Rawalpindi,Electronics,Smart Watch,1.0,4463.58,6.5,4173.45,Credit Card,In-Store,23.0,Female
TXN0256,CUST0576,2025-05-18,Peshawar,Home & Kitchen,Water Purifier,1.0,6170.67,21.9,4819.29,Debit Card,Online,65.0,Male
TXN0327,CUST0163,2025-08-06,Multan,Groceries,Rice,8.0,46.47,20.9,294.06,Credit Card,In-Store,60.0,Female
